flow_id,src_ip,src_port,dest_ip,dest_port,timestamp,category,signature,severity,proto
1125705650615930,217.182.164.10,443,10.47.2.153,33500,2018-03-24T15:38:54.732723-0600,Potential Corporate Privacy Violation,ET POLICY Request for Coinhive Browser Monero Miner M2,1,TCP
1275968730524132,216.239.34.21,443,10.47.2.153,47664,2018-03-24T12:54:37.124703-0600,Potential Corporate Privacy Violation,ET POLICY Possible External IP Lookup SSL Cert Observed (ipinfo.io),1,TCP
1275968730524132,10.47.2.153,47664,216.239.34.21,443,2018-03-24T12:54:37.088493-0600,A Network Trojan was detected,ET POLICY Possible External IP Lookup Domain Observed in SNI (ipinfo. io),1,TCP
3559545137832,10.47.2.153,33497,217.182.164.10,443,2018-03-24T15:38:53.402936-0600,A Network Trojan was detected,ET CURRENT_EVENTS Observed Coin-Hive In Browser Mining Domain (coin-hive .com in TLS SNI),1,TCP
3559545137832,217.182.164.10,443,10.47.2.153,33497,2018-03-24T15:38:53.716126-0600,A Network Trojan was detected,ET CURRENT_EVENTS Observed Malicious SSL Cert (Coin-Hive In Browser Mining),1,TCP
169748100114688,10.47.1.155,57230,104.17.60.19,80,2018-03-24T11:47:33.922944-0600,A Network Trojan was detected,ET MALWARE Lavasoft PUA/Adware Client Install,1,TCP
1883475835086386,10.128.0.235,41859,10.47.4.151,445,2018-03-23T14:31:19.714043-0600,A Network Trojan was detected,ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style),1,TCP
1883475835086386,10.47.4.151,445,10.128.0.235,41859,2018-03-23T14:31:19.715236-0600,A Network Trojan was detected,ET EXPLOIT ETERNALBLUE Probe Vulnerable System Response MS17-010,1,TCP
904384956953180,10.128.0.236,45639,10.47.3.142,445,2018-03-23T17:04:58.021565-0600,Potentially Bad Traffic,ET POLICY SMB Executable File Transfer,2,TCP
2091642974506675,10.150.0.20,41886,10.47.27.25,445,2018-03-23T17:57:51.246322-0600,Potentially Bad Traffic,ET POLICY SMB NT Create AndX Request For an Executable File,2,TCP
247612937681106,10.128.0.215,52577,10.47.8.153,445,2018-03-23T14:19:10.500183-0600,Potentially Bad Traffic,ET POLICY SMB2 NT Create AndX Request For an Executable File,2,TCP
2006779793843597,10.128.0.100,49396,10.47.41.10,445,2018-03-24T16:44:31.118540-0600,Potentially Bad Traffic,ET POLICY SMB2 NT Create AndX Request For a Powershell .ps1 File,2,TCP
1017073003540894,10.47.44.68,49907,10.128.0.101,445,2018-03-24T15:29:40.921709-0600,Potentially Bad Traffic,ET POLICY SMB2 NT Create AndX Request For a .bat File,2,TCP
1805303078780787,10.128.0.215,52569,10.47.8.208,445,2018-03-23T14:17:08.695280-0600,Potentially Bad Traffic,ET POLICY SMB2 NT Create AndX Request For a DLL File - Possible Lateral Movement,2,TCP
1440269524647850,10.128.0.215,52577,10.47.8.153,445,2018-03-23T14:20:18.916542-0600,Potentially Bad Traffic,ET POLICY SMB2 NT Create AndX Request For a .sys File - Possible Lateral Movement,2,TCP
2108552283659613,10.128.0.210,35773,10.47.28.81,445,2018-03-23T18:03:39.711253-0600,Potentially Bad Traffic,ET POLICY SMB Remote AT Scheduled Job Create Request - Possible Lateral Movement,2,TCP
1370764000970368,10.128.0.201,49054,10.47.3.10,445,2018-03-23T14:02:33.039988-0600,Potentially Bad Traffic,ET POLICY SMB2 Remote AT Scheduled Job Create Request,2,TCP
1370764000970368,10.47.3.10,445,10.128.0.201,49054,2018-03-23T14:02:33.048093-0600,Potentially Bad Traffic,ET POLICY SMB Remote AT Scheduled Job Pipe Creation,2,TCP
186287239400886,10.128.0.201,34165,10.47.3.10,445,2018-03-23T14:16:59.988004-0600,A Network Trojan was detected,ET POLICY Powershell Activity Over SMB - Likely Lateral Movement,1,TCP
186287239400886,10.128.0.201,34165,10.47.3.10,445,2018-03-23T14:16:59.988004-0600,A Network Trojan was detected,ET POLICY Powershell Command With Hidden Window Argument Over SMB - Likely Lateral Movement,1,TCP
1441025801942459,10.128.0.236,37702,10.47.3.150,445,2018-03-23T15:52:09.392026-0600,A Network Trojan was detected,ET POLICY Powershell Command With Encoded Argument Over SMB - Likely Lateral Movement,1,TCP
186287239400886,10.128.0.201,34165,10.47.3.10,445,2018-03-23T14:16:59.988004-0600,A Network Trojan was detected,ET POLICY Powershell Command With No Profile Argument Over SMB - Likely Lateral Movement,1,TCP
1441025801942459,10.128.0.236,37702,10.47.3.150,445,2018-03-23T15:52:09.392026-0600,A Network Trojan was detected,ET POLICY Powershell Command With Execution Bypass Argument Over SMB - Likely Lateral Movement,1,TCP
186287239400886,10.128.0.201,34165,10.47.3.10,445,2018-03-23T14:16:59.988004-0600,A Network Trojan was detected,ET POLICY Powershell Command With NonInteractive Argument Over SMB - Likely Lateral Movement,1,TCP
2178805570117423,10.128.0.236,59486,10.47.22.25,445,2018-03-24T14:24:42.339551-0600,A Network Trojan was detected,ET POLICY WMIC WMI Request Over SMB - Likely Lateral Movement,1,TCP
1883475835086386,10.128.0.235,41859,10.47.4.151,445,2018-03-23T14:31:19.714043-0600,A Network Trojan was detected,ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags),1,TCP
1174891346383363,10.128.0.207,35679,10.47.41.40,80,2018-03-24T14:30:17.843446-0600,Attempted Administrator Privilege Gain,ET EXPLOIT Linksys E-Series Device RCE Attempt,1,TCP
